START_DATE,END_DATE,START_TIME,END_TIME,RIDE_DURATION_IN_MINS,CATEGORY,START,STOP,MILES,PURPOSE
18-01-2016,18-01-2016,14:55:00,15:06:00,11,Business,Cary,Cary,4.8,"Meal/Entertain"
18-01-2016,18-01-2016,16:13:00,16:24:00,11,Business,Farmington Woods,Whitebridge,4.7,"Meal/Entertain"
19-01-2016,19-01-2016,09:09:00,09:23:00,14,Business,Whitebridge,Lake Wellingborough,7.2,"Not Defined
"
19-01-2016,19-01-2016,10:55:00,11:09:00,14,Business,Lake Wellingborough,Whitebridge,7.6,"Temporary Site"
20-01-2016,20-01-2016,10:36:00,11:11:00,35,Business,Cary,Raleigh,17.1,"Meeting"
20-01-2016,20-01-2016,11:48:00,12:19:00,31,Business,Fayetteville Street,Umstead,15.1,"Meeting"
20-01-2016,20-01-2016,13:25:00,14:19:00,54,Business,Raleigh,Cary,40.2,"Customer Visit"
21-01-2016,21-01-2016,14:25:00,14:29:00,4,Business,Cary,Cary,1.6,"Errand/Supplies"
21-01-2016,21-01-2016,14:43:00,14:51:00,8,Business,Cary,Cary,2.4,"Meal/Entertain"
21-01-2016,21-01-2016,16:01:00,16:06:00,5,Business,Cary,Cary,1,"Meal/Entertain"
26-01-2016,26-01-2016,10:41:00,10:50:00,9,Business,Whitebridge,Hazelwood,2,"Meal/Entertain"
26-01-2016,26-01-2016,12:33:00,12:41:00,8,Business,Hazelwood,Whitebridge,2.3,"Errand/Supplies"
26-01-2016,26-01-2016,16:24:00,16:32:00,8,Business,Whitebridge,Westpark Place,1.9,"Errand/Supplies"
26-01-2016,26-01-2016,17:17:00,17:22:00,5,Business,Cary,Cary,1.4,"Errand/Supplies"
26-01-2016,26-01-2016,17:27:00,17:29:00,2,Business,Cary,Cary,0.5,"Errand/Supplies"
27-01-2016,27-01-2016,09:24:00,09:31:00,7,Business,Cary,Cary,1.8,"Meeting"
27-01-2016,27-01-2016,10:19:00,10:48:00,29,Business,Cary,Raleigh,18.7,"Customer Visit"
27-01-2016,27-01-2016,12:34:00,12:44:00,10,Business,Fairmont,Meredith Townes,3.4,"Customer Visit"
27-01-2016,27-01-2016,14:05:00,14:13:00,8,Business,Raleigh,Raleigh,2.7,"Customer Visit"
27-01-2016,27-01-2016,14:46:00,15:08:00,22,Business,Raleigh,Cary,12.9,"Customer Visit"
28-01-2016,28-01-2016,12:28:00,13:00:00,32,Business,Cary,Raleigh,19,"Temporary Site"
28-01-2016,28-01-2016,15:11:00,15:31:00,20,Business,Meredith Townes,Leesville Hollow,14.7,"Meeting"
28-01-2016,28-01-2016,16:21:00,16:51:00,30,Business,Raleigh,Cary,15.7,"Meeting"
29-01-2016,29-01-2016,09:31:00,09:45:00,14,Business,Cary,Cary,4.6,"Customer Visit"
29-01-2016,29-01-2016,10:56:00,11:07:00,11,Business,Cary,Cary,5.2,"Meeting"
29-01-2016,29-01-2016,11:43:00,12:03:00,20,Business,Cary,Durham,10.4,"Meeting"
29-01-2016,29-01-2016,13:24:00,13:47:00,23,Business,Durham,Cary,10.1,"Meeting"
29-01-2016,29-01-2016,18:31:00,18:52:00,21,Business,Cary,Apex,5.8,"Errand/Supplies"
29-01-2016,29-01-2016,21:21:00,21:40:00,19,Business,Apex,Cary,5.5,"Meal/Entertain"
30-01-2016,30-01-2016,16:21:00,16:33:00,12,Business,Cary,Apex,5.7,"Errand/Supplies"
30-01-2016,30-01-2016,18:09:00,18:24:00,15,Business,Apex,Cary,5.7,"Customer Visit"
01-02-2016,01-02-2016,10:35:00,11:15:00,40,Business,Cary,Chapel Hill,19.4,"Customer Visit"
01-02-2016,01-02-2016,12:10:00,12:43:00,33,Business,Chapel Hill,Cary,23.3,"Customer Visit"
01-02-2016,01-02-2016,12:56:00,13:07:00,11,Business,Northwoods,Whitebridge,3.9,"Meal/Entertain"
02-02-2016,02-02-2016,13:04:00,13:23:00,19,Business,Whitebridge,Williamsburg Manor,8.3,"Meeting"
02-02-2016,02-02-2016,13:51:00,14:06:00,15,Business,Cary,Cary,6,"Errand/Supplies"
02-02-2016,02-02-2016,14:38:00,14:42:00,4,Business,Cary,Cary,1.6,"Errand/Supplies"
04-02-2016,04-02-2016,08:40:00,09:01:00,21,Business,Cary,Morrisville,5.2,"Errand/Supplies"
04-02-2016,04-02-2016,09:37:00,10:09:00,32,Business,Morrisville,Cary,9.7,"Meal/Entertain"
04-02-2016,04-02-2016,10:26:00,10:32:00,6,Business,Cary,Cary,1.6,"Meal/Entertain"
04-02-2016,04-02-2016,15:59:00,16:03:00,4,Business,Cary,Cary,1.1,"Meal/Entertain"
04-02-2016,04-02-2016,16:35:00,16:39:00,4,Business,Cary,Cary,1.6,"Meal/Entertain"
04-02-2016,04-02-2016,18:04:00,18:31:00,27,Business,Whitebridge,Macgregor Downs,9,"Meeting"
04-02-2016,04-02-2016,20:36:00,20:55:00,19,Business,Cary,Cary,7.7,"Meeting"
05-02-2016,05-02-2016,11:47:00,12:07:00,20,Business,Cary,Durham,10.4,"Meeting"
05-02-2016,05-02-2016,13:22:00,13:41:00,19,Business,Durham,Cary,10.4,"Meeting"
06-02-2016,06-02-2016,16:20:00,16:53:00,33,Business,Cary,Raleigh,11.4,"Between Offices"
06-02-2016,06-02-2016,18:57:00,19:21:00,24,Business,Raleigh,Cary,9,"Errand/Supplies"
06-02-2016,06-02-2016,19:28:00,19:37:00,9,Business,Edgehill Farms,Whitebridge,3.2,"Meal/Entertain"
07-02-2016,07-02-2016,16:49:00,17:01:00,12,Business,Cary,Apex,5.6,"Errand/Supplies"
07-02-2016,07-02-2016,18:03:00,18:17:00,14,Business,Apex,Cary,5.7,"Customer Visit"
07-02-2016,07-02-2016,18:39:00,18:53:00,14,Business,Cary,Morrisville,6.1,"Temporary Site"
07-02-2016,07-02-2016,20:22:00,20:40:00,18,Business,Morrisville,Cary,6.1,"Meeting"
08-02-2016,08-02-2016,12:57:00,13:08:00,11,Business,Whitebridge,Edgehill Farms,4.3,"Meal/Entertain"
08-02-2016,08-02-2016,14:00:00,14:10:00,10,Business,Edgehill Farms,Whitebridge,2.7,"Meal/Entertain"
09-02-2016,09-02-2016,10:54:00,11:07:00,13,Personal,Whitebridge,Northwoods,5.3,"Not Defined
"
09-02-2016,09-02-2016,11:43:00,11:50:00,7,Personal,Northwoods,Tanglewood,3,"Not Defined
"
09-02-2016,09-02-2016,13:36:00,13:52:00,16,Personal,Tanglewood,Preston,5.1,"Not Defined
"
09-02-2016,09-02-2016,13:58:00,14:02:00,4,Personal,Preston,Whitebridge,1.5,"Not Defined
"
09-02-2016,09-02-2016,18:55:00,19:11:00,16,Business,Cary,Morrisville,6.1,"Not Defined
"
09-02-2016,09-02-2016,20:24:00,20:40:00,16,Business,Morrisville,Cary,6.1,"Meal/Entertain"
11-02-2016,11-02-2016,16:28:00,17:10:00,42,Business,Cary,Raleigh,17.3,"Meal/Entertain"
11-02-2016,11-02-2016,17:49:00,18:10:00,21,Business,Eastgate,Walnut Terrace,5.7,"Meal/Entertain"
11-02-2016,11-02-2016,18:24:00,18:46:00,22,Business,Raleigh,Morrisville,13.5,"Temporary Site"
11-02-2016,11-02-2016,20:36:00,20:51:00,15,Business,Morrisville,Cary,6.1,"Temporary Site"
12-02-2016,12-02-2016,08:21:00,08:42:00,21,Business,Cary,Durham,8.5,"Temporary Site"
12-02-2016,12-02-2016,10:45:00,10:52:00,7,Business,Durham,Morrisville,2.6,"Temporary Site"
12-02-2016,12-02-2016,11:14:00,11:35:00,21,Business,Morrisville,Raleigh,17,"Customer Visit"
12-02-2016,12-02-2016,13:02:00,13:36:00,34,Business,Raleigh,Cary,18,"Meeting"
12-02-2016,12-02-2016,14:49:00,15:06:00,17,Business,Cary,Morrisville,8.4,"Meeting"
12-02-2016,12-02-2016,15:33:00,16:06:00,33,Business,Morrisville,Cary,11.5,"Customer Visit"
13-02-2016,13-02-2016,14:21:00,14:41:00,20,Business,Cary,Morrisville,8.9,"Meeting"
13-02-2016,14-02-2016,23:45:00,00:01:00,16,Personal,East Elmhurst,Jackson Heights,2.7,"Not Defined
"
14-02-2016,14-02-2016,00:50:00,01:00:00,10,Personal,Jackson Heights,East Elmhurst,1.8,"Not Defined
"
14-02-2016,14-02-2016,14:07:00,14:40:00,33,Business,East Elmhurst,New York,8.1,"Meeting"
14-02-2016,14-02-2016,14:46:00,15:03:00,17,Business,Midtown,Midtown West,2,"Meeting"
14-02-2016,14-02-2016,16:35:00,17:02:00,27,Business,New York,Long Island City,13,"Meeting"
14-02-2016,14-02-2016,17:06:00,17:29:00,23,Business,Long Island City,Jamaica,13.9,"Meeting"
16-02-2016,16-02-2016,03:21:00,04:13:00,52,Business,Katunayaka,Unknown Location,43.7,"Customer Visit"
16-02-2016,16-02-2016,08:29:00,09:34:00,65,Business,Unknown Location,Colombo,14.1,"Not Defined
"
16-02-2016,16-02-2016,10:31:00,10:41:00,10,Business,Colombo,Colombo,2.6,"Not Defined
"
16-02-2016,16-02-2016,11:32:00,12:02:00,30,Business,Colombo,Colombo,4.5,"Not Defined
"
16-02-2016,16-02-2016,12:39:00,12:42:00,3,Business,Colombo,Colombo,1.7,"Not Defined
"
16-02-2016,16-02-2016,13:43:00,13:55:00,12,Business,Colombo,Colombo,1.8,"Temporary Site"
16-02-2016,16-02-2016,16:34:00,17:10:00,36,Business,Colombo,Colombo,6,"Not Defined
"
16-02-2016,16-02-2016,17:17:00,17:26:00,9,Business,Colombo,Nugegoda,1.1,"Meal/Entertain"
16-02-2016,16-02-2016,17:40:00,17:44:00,4,Business,Nugegoda,Unknown Location,3.6,"Errand/Supplies"
17-02-2016,17-02-2016,13:18:00,14:04:00,46,Business,Unknown Location,Colombo,14.7,"Temporary Site"
17-02-2016,17-02-2016,15:17:00,15:22:00,5,Business,Colombo,Colombo,1.7,"Meal/Entertain"
17-02-2016,17-02-2016,15:33:00,16:17:00,44,Business,Colombo,Katunayaka,21.4,"Temporary Site"
17-02-2016,17-02-2016,16:38:00,16:43:00,5,Business,Katunayaka,Katunayaka,0.5,"Errand/Supplies"
18-02-2016,18-02-2016,14:03:00,14:45:00,42,Business,Unknown Location,Islamabad,12.7,"Temporary Site"
18-02-2016,18-02-2016,15:16:00,15:31:00,15,Business,Islamabad,Unknown Location,6,"Temporary Site"
18-02-2016,18-02-2016,18:44:00,18:58:00,14,Business,Unknown Location,Islamabad,5.2,"Customer Visit"
18-02-2016,18-02-2016,19:27:00,20:08:00,41,Business,Islamabad,Unknown Location,10,"Meeting"
19-02-2016,19-02-2016,10:21:00,10:48:00,27,Business,Unknown Location,Islamabad,7.6,"Meeting"
19-02-2016,19-02-2016,11:20:00,11:26:00,6,Personal,Islamabad,Islamabad,1.5,"Not Defined
"
19-02-2016,19-02-2016,11:45:00,11:50:00,5,Personal,Islamabad,Islamabad,1,"Not Defined
"
19-02-2016,19-02-2016,12:09:00,12:27:00,18,Business,Islamabad,Unknown Location,7.3,"Temporary Site"
19-02-2016,19-02-2016,16:26:00,16:45:00,19,Business,Unknown Location,Islamabad,3.5,"Not Defined
"
19-02-2016,19-02-2016,17:09:00,17:20:00,11,Business,Islamabad,Islamabad,4.2,"Not Defined
"
19-02-2016,19-02-2016,20:08:00,20:30:00,22,Personal,Islamabad,Unknown Location,13.6,"Not Defined
"
20-02-2016,20-02-2016,07:59:00,08:32:00,33,Personal,Unknown Location,Islamabad,14.4,"Not Defined
"
20-02-2016,20-02-2016,10:48:00,10:56:00,8,Personal,Islamabad,Islamabad,3,"Not Defined
"
20-02-2016,20-02-2016,11:45:00,11:53:00,8,Personal,Islamabad,Islamabad,1.5,"Not Defined
"
20-02-2016,20-02-2016,12:41:00,13:17:00,36,Business,Islamabad,Rawalpindi,18.4,"Not Defined
"
20-02-2016,20-02-2016,14:50:00,15:54:00,64,Business,Rawalpindi,Rawalpindi,23.1,"Meeting"
20-02-2016,20-02-2016,16:59:00,17:54:00,55,Personal,Rawalpindi,Unknown Location,16.5,"Not Defined
"
21-02-2016,21-02-2016,09:07:00,09:46:00,39,Business,Unknown Location,Islamabad,14.5,"Not Defined
"
21-02-2016,21-02-2016,11:39:00,11:43:00,4,Business,Unknown Location,Islamabad,2.4,"Errand/Supplies"
21-02-2016,21-02-2016,11:47:00,12:01:00,14,Business,Islamabad,Islamabad,4.6,"Errand/Supplies"
21-02-2016,21-02-2016,12:13:00,12:35:00,22,Business,Islamabad,Unknown Location,8.8,"Meal/Entertain"
21-02-2016,21-02-2016,14:36:00,15:03:00,27,Business,Unknown Location,Islamabad,13,"Temporary Site"
21-02-2016,21-02-2016,15:14:00,15:31:00,17,Business,Islamabad,Noorpur Shahan,8.1,"Temporary Site"
21-02-2016,21-02-2016,15:36:00,15:41:00,5,Business,Noorpur Shahan,Unknown Location,2.2,"Meal/Entertain"
21-02-2016,21-02-2016,23:15:00,23:52:00,37,Business,Unknown Location,Rawalpindi,20,"Meeting"
22-02-2016,22-02-2016,21:54:00,22:09:00,15,Business,Morrisville,Cary,8.1,"Customer Visit"
24-02-2016,24-02-2016,14:30:00,14:35:00,5,Business,Whitebridge,Preston,1.5,"Not Defined
"
24-02-2016,24-02-2016,15:19:00,15:25:00,6,Business,Preston,Whitebridge,1.7,"Errand/Supplies"
25-02-2016,25-02-2016,16:27:00,16:35:00,8,Business,Whitebridge,Heritage Pines,3.1,"Errand/Supplies"
25-02-2016,25-02-2016,16:47:00,17:02:00,15,Business,Heritage Pines,Whitebridge,3.2,"Errand/Supplies"
25-02-2016,25-02-2016,17:16:00,17:36:00,20,Business,Whitebridge,Tanglewood,6,"Meal/Entertain"
25-02-2016,25-02-2016,18:22:00,18:39:00,17,Business,Tanglewood,Whitebridge,5.8,"Meal/Entertain"
26-02-2016,26-02-2016,09:06:00,09:29:00,23,Business,Whitebridge,Westpark Place,6.3,"Not Defined
"
26-02-2016,26-02-2016,11:05:00,11:11:00,6,Personal,Westpark Place,Whitebridge,1.7,"Not Defined
"
26-02-2016,26-02-2016,11:35:00,11:59:00,24,Business,Cary,Durham,10.6,"Meeting"
26-02-2016,26-02-2016,13:01:00,13:24:00,23,Business,Durham,Cary,9.9,"Meeting"
26-02-2016,26-02-2016,14:38:00,14:46:00,8,Personal,Whitebridge,Westpark Place,1.9,"Not Defined
"
26-02-2016,26-02-2016,15:00:00,15:18:00,18,Personal,Westpark Place,Hazelwood,4.2,"Not Defined
"
26-02-2016,26-02-2016,17:01:00,17:12:00,11,Personal,Hazelwood,Whitebridge,2,"Not Defined
"
28-02-2016,28-02-2016,05:22:00,05:38:00,16,Business,Whitebridge,Waverly Place,7.7,"Meeting"
28-02-2016,28-02-2016,09:26:00,09:42:00,16,Business,Waverly Place,Whitebridge,6.8,"Meeting"
29-02-2016,29-02-2016,11:07:00,11:14:00,7,Personal,Whitebridge,Westpark Place,2.1,"Not Defined
"
29-02-2016,29-02-2016,11:30:00,11:40:00,10,Business,Cary,Apex,3.8,"Meeting"
29-02-2016,29-02-2016,12:36:00,12:48:00,12,Business,Apex,Cary,5.6,"Meeting"
29-02-2016,29-02-2016,14:55:00,15:03:00,8,Business,Whitebridge,Hazelwood,2.6,"Not Defined
"
29-02-2016,29-02-2016,16:40:00,17:00:00,20,Business,Hazelwood,Whitebridge,6.6,"Customer Visit"
01-03-2016,01-03-2016,18:47:00,19:10:00,23,Business,Whitebridge,Wayne Ridge,8,"Meal/Entertain"
01-03-2016,01-03-2016,21:27:00,21:45:00,18,Business,Wayne Ridge,Whitebridge,8,"Meeting"
03-03-2016,03-03-2016,09:45:00,09:52:00,7,Personal,Whitebridge,Westpark Place,2.2,"Not Defined
"
03-03-2016,03-03-2016,11:04:00,11:10:00,6,Business,Westpark Place,Whitebridge,2.3,"Errand/Supplies"
03-03-2016,03-03-2016,14:44:00,14:58:00,14,Business,Whitebridge,Northwoods,5.2,"Meal/Entertain"
03-03-2016,03-03-2016,15:27:00,15:48:00,21,Business,Cary,Raleigh,7.6,"Customer Visit"
03-03-2016,03-03-2016,16:02:00,16:42:00,40,Business,Raleigh,Cary,17.3,"Meeting"
04-03-2016,04-03-2016,07:47:00,08:06:00,19,Business,Cary,Durham,9.9,"Meeting"
04-03-2016,04-03-2016,09:46:00,10:03:00,17,Business,Durham,Cary,9.9,"Customer Visit"
04-03-2016,04-03-2016,11:46:00,12:06:00,20,Business,Cary,Durham,10.4,"Meeting"
04-03-2016,04-03-2016,13:03:00,13:25:00,22,Business,Durham,Cary,10.9,"Meeting"
04-03-2016,04-03-2016,13:40:00,14:09:00,29,Business,Cary,Raleigh,15.7,"Customer Visit"
04-03-2016,04-03-2016,15:56:00,16:08:00,12,Business,Raleigh,Raleigh,4.9,"Meal/Entertain"
04-03-2016,04-03-2016,16:16:00,16:22:00,6,Business,Fayetteville Street,Depot Historic District,0.8,"Errand/Supplies"
04-03-2016,04-03-2016,16:43:00,17:12:00,29,Business,Raleigh,Cary,13.5,"Meeting"
04-03-2016,04-03-2016,19:02:00,19:08:00,6,Business,Cary,Morrisville,1.9,"Temporary Site"
04-03-2016,04-03-2016,19:16:00,19:25:00,9,Business,Morrisville,Cary,2,"Meal/Entertain"
05-03-2016,05-03-2016,11:44:00,11:59:00,15,Business,Cary,Morrisville,6.5,"Meal/Entertain"
05-03-2016,05-03-2016,12:57:00,13:12:00,15,Personal,Weston,Weston,4.2,"Not Defined
"
05-03-2016,05-03-2016,14:08:00,14:18:00,10,Personal,Morrisville,Cary,3.5,"Not Defined
"
05-03-2016,05-03-2016,14:39:00,15:01:00,22,Business,Whitebridge,Wayne Ridge,7.8,"Meal/Entertain"
05-03-2016,05-03-2016,16:52:00,17:13:00,21,Business,Cary,Morrisville,7.8,"Meal/Entertain"
05-03-2016,05-03-2016,17:23:00,17:34:00,11,Business,Morrisville,Cary,3.9,"Meal/Entertain"
07-03-2016,07-03-2016,09:10:00,09:20:00,10,Business,Whitebridge,Edgehill Farms,2.8,"Errand/Supplies"
07-03-2016,07-03-2016,09:23:00,09:47:00,24,Business,Cary,Raleigh,12.4,"Customer Visit"
07-03-2016,07-03-2016,12:10:00,12:26:00,16,Business,Fayetteville Street,Meredith Townes,5.9,"Customer Visit"
07-03-2016,07-03-2016,13:57:00,14:18:00,21,Business,Meredith Townes,Leesville Hollow,9.4,"Meeting"
07-03-2016,07-03-2016,15:19:00,15:45:00,26,Business,Raleigh,Cary,11.9,"Between Offices"
08-03-2016,08-03-2016,14:38:00,14:55:00,17,Business,Whitebridge,Waverly Place,7.2,"Between Offices"
08-03-2016,08-03-2016,15:35:00,16:00:00,25,Business,Waverly Place,Whitebridge,7.6,"Meal/Entertain"
08-03-2016,08-03-2016,16:13:00,16:25:00,12,Personal,Whitebridge,Whitebridge,1.6,"Not Defined
"
10-03-2016,10-03-2016,03:36:00,03:53:00,17,Business,Cary,Morrisville,8.4,"Meeting"
10-03-2016,10-03-2016,10:08:00,10:37:00,29,Business,East Austin,West University,12.8,"Meeting"
10-03-2016,10-03-2016,14:39:00,14:55:00,16,Business,West University,South Congress,2.3,"Not Defined
"
10-03-2016,10-03-2016,16:18:00,16:28:00,10,Business,South Congress,Arts District,1.6,"Not Defined
"
11-03-2016,11-03-2016,09:47:00,09:59:00,12,Business,The Drag,Congress Ave District,2,"Meal/Entertain"
11-03-2016,11-03-2016,10:29:00,10:36:00,7,Business,Congress Ave District,Downtown,0.8,"Not Defined
"
11-03-2016,11-03-2016,11:57:00,12:04:00,7,Business,Downtown,Red River District,1.2,"Not Defined
"
11-03-2016,11-03-2016,13:43:00,13:51:00,8,Business,Red River District,Downtown,1,"Not Defined
"
11-03-2016,11-03-2016,19:21:00,19:35:00,14,Business,South Congress,The Drag,2.1,"Not Defined
"
12-03-2016,12-03-2016,09:13:00,09:22:00,9,Business,The Drag,South Congress,2.2,"Not Defined
"
12-03-2016,12-03-2016,18:27:00,18:37:00,10,Personal,South Congress,The Drag,1.9,"Not Defined
"
13-03-2016,13-03-2016,09:07:00,09:37:00,30,Business,The Drag,Convention Center District,5.7,"Meal/Entertain"
13-03-2016,13-03-2016,18:23:00,18:43:00,20,Business,South Congress,North Austin,8.4,"Meal/Entertain"
13-03-2016,13-03-2016,20:07:00,20:28:00,21,Business,Georgian Acres,The Drag,6.2,"Meal/Entertain"
13-03-2016,13-03-2016,20:39:00,20:58:00,19,Business,The Drag,North Austin,10.5,"Meal/Entertain"
13-03-2016,13-03-2016,21:11:00,21:23:00,12,Business,North Austin,Coxville,7.2,"Meal/Entertain"
13-03-2016,13-03-2016,22:19:00,22:39:00,20,Business,Coxville,The Drag,12.5,"Not Defined
"
14-03-2016,14-03-2016,08:34:00,08:49:00,15,Business,The Drag,South Congress,2,"Errand/Supplies"
14-03-2016,14-03-2016,18:39:00,18:55:00,16,Business,South Congress,The Drag,2.7,"Not Defined
"
15-03-2016,15-03-2016,08:45:00,08:57:00,12,Business,The Drag,Convention Center District,2,"Meal/Entertain"
15-03-2016,15-03-2016,20:48:00,21:01:00,13,Business,Downtown,The Drag,2.8,"Meal/Entertain"
16-03-2016,16-03-2016,11:34:00,11:45:00,11,Business,The Drag,Congress Ave District,1.7,"Meal/Entertain"
16-03-2016,16-03-2016,14:44:00,14:55:00,11,Business,Convention Center District,West University,2,"Not Defined
"
16-03-2016,16-03-2016,18:43:00,18:56:00,13,Business,West University,Congress Ave District,2.1,"Meal/Entertain"
17-03-2016,17-03-2016,00:33:00,00:44:00,11,Personal,Downtown,The Drag,1.7,"Not Defined
"
17-03-2016,17-03-2016,12:52:00,15:11:00,139,Business,Austin,Katy,136,"Customer Visit"
17-03-2016,17-03-2016,15:16:00,15:58:00,42,Business,Katy,Houston,30.2,"Meeting"
17-03-2016,17-03-2016,17:20:00,18:02:00,42,Business,Midtown,Alief,15.5,"Meal/Entertain"
17-03-2016,17-03-2016,18:47:00,19:09:00,22,Personal,Houston,Houston,4.9,"Not Defined
"
17-03-2016,17-03-2016,20:57:00,21:28:00,31,Personal,Houston,Houston,12.6,"Not Defined
"
17-03-2016,17-03-2016,21:48:00,22:04:00,16,Personal,Sharpstown,Midtown,10.4,"Not Defined
"
18-03-2016,18-03-2016,07:15:00,07:21:00,6,Business,Midtown,Midtown,1.1,"Meal/Entertain"
18-03-2016,18-03-2016,08:35:00,08:43:00,8,Business,Midtown,Midtown,1.1,"Meal/Entertain"
18-03-2016,18-03-2016,18:24:00,19:08:00,44,Business,Midtown,Sharpstown,13.2,"Meeting"
18-03-2016,18-03-2016,19:23:00,19:29:00,6,Business,Sharpstown,Sharpstown,1,"Errand/Supplies"
18-03-2016,18-03-2016,21:01:00,21:15:00,14,Business,Sharpstown,Midtown,9.2,"Customer Visit"
19-03-2016,19-03-2016,09:10:00,09:25:00,15,Business,Midtown,Sharpstown,9.4,"Meal/Entertain"
19-03-2016,19-03-2016,12:50:00,13:13:00,23,Business,Houston,Sugar Land,12,"Customer Visit"
19-03-2016,19-03-2016,14:01:00,14:57:00,56,Business,Sugar Land,Houston,35.1,"Customer Visit"
19-03-2016,19-03-2016,15:34:00,16:38:00,64,Business,Houston,Galveston,36.5,"Meal/Entertain"
19-03-2016,19-03-2016,17:17:00,17:32:00,15,Business,Galveston,Port Bolivar,3.1,"Meal/Entertain"
19-03-2016,19-03-2016,17:37:00,17:47:00,10,Business,Port Bolivar,Port Bolivar,2.1,"Errand/Supplies"
19-03-2016,19-03-2016,17:52:00,18:00:00,8,Business,Port Bolivar,Port Bolivar,1.2,"Not Defined
"
19-03-2016,19-03-2016,18:53:00,19:29:00,36,Business,Port Bolivar,Galveston,7.5,"Meeting"
19-03-2016,19-03-2016,19:33:00,20:39:00,66,Business,Galveston,Houston,57,"Customer Visit"
20-03-2016,20-03-2016,07:37:00,07:48:00,11,Business,Midtown,Washington Avenue,5.9,"Meeting"
20-03-2016,20-03-2016,11:42:00,11:56:00,14,Business,Washington Avenue,Midtown,6.2,"Meeting"
20-03-2016,20-03-2016,17:08:00,17:34:00,26,Business,Midtown,Sharpstown,10.4,"Not Defined
"
20-03-2016,20-03-2016,18:34:00,18:40:00,6,Personal,Sharpstown,Briar Meadow,1.2,"Not Defined
"
20-03-2016,20-03-2016,18:45:00,19:06:00,21,Business,Briar Meadow,Midtown,9.6,"Customer Visit"
21-03-2016,21-03-2016,10:21:00,10:26:00,5,Personal,Midtown,Downtown,1,"Not Defined
"
